message,label
Congratulations! You won a free iPhone. Claim now!,spam
Win cash prize by clicking this link,spam
Free recharge available. Click here,spam
Limited offer! Buy one get one free,spam
Urgent! Your account has won a reward,spam
Exclusive deal just for you,spam
Claim your lottery winnings today,spam
You have been selected for a gift voucher,spam
Earn money from home easily,spam
Congratulations! You are our lucky winner,spam
"Hi, are you coming to class today?",not spam
Don't forget the meeting at 3 PM,not spam
Can you send me the notes?,not spam
Happy Birthday! Have a great day,not spam
Let's meet for lunch tomorrow,not spam
Please submit your assignment by Friday,not spam
Where are you now?,not spam
Thank you for your help,not spam
Call me when you are free,not spam
See you in the lab tomorrow,not spam
